epoch,train_loss,macro_f1,weighted_f1,accuracy,confusion,thresholds,auroc_immune_cold,auprc_immune_cold,f1_immune_cold,auroc_immune_hot,auprc_immune_hot,f1_immune_hot,auroc_normal,auprc_normal,f1_normal,auroc_necrotic,auprc_necrotic,f1_necrotic,mes_auroc,mes_auprc,mes_pearson
32,8.951664090156555,0.4191801070856674,0.7151026800152802,0.7795610630038817,"[[8300, 5, 332, 1], [15, 0, 0, 0], [575, 0, 2140, 0], [2022, 0, 3, 3]]","[0.17499999701976776, 0.05000000074505806, 0.7749999761581421, 0.05000000074505806]",0.7162531784977781,0.7791087123203551,0.8491048593350383,0.7022494581869816,0.0018596327498438927,0.0,0.9658429289509625,0.9024146037771107,0.8246628131021194,0.8972737585138116,0.6590732639940164,0.002952755905511811,0.785871349491568,0.3940517886769821,0.3885255928415035
33,8.983836367726326,0.37151759142148044,0.6635180582702499,0.7188713048671245,"[[7731, 81, 826, 0], [8, 0, 7, 0], [829, 0, 1886, 0], [1628, 39, 348, 13]]","[0.7749999761581421, 0.05000000074505806, 0.22499999403953552, 0.05000000074505806]",0.8046532273157668,0.8741283402241428,0.8209620898375278,0.7849936477094388,0.005450546784052096,0.0,0.8733378128112725,0.6491208104148228,0.6523694223452092,0.9181970533571518,0.7625874590398133,0.012738853503184714,0.8432758578250381,0.4792751037992862,0.3996892253962063
34,8.65441931784153,0.4951883569235442,0.766274087601123,0.7966557181248134,"[[8106, 127, 347, 58], [14, 0, 0, 1], [469, 19, 2223, 4], [1672, 12, 1, 343]]","[0.3499999940395355, 0.05000000074505806, 0.5249999761581421, 0.05000000074505806]",0.7899067470333777,0.8567490997336268,0.8578231652468384,0.6094512119173954,0.0014091417811929073,0.0,0.9742418293925823,0.9089621287231435,0.8410896708286039,0.8920149140047775,0.6510436100653711,0.2818405916187346,0.7592709923037791,0.33760725225243854,0.3471503234574632
35,8.422656655311584,0.2582320680886857,0.5211380889445099,0.5378471185428486,"[[5884, 0, 2754, 0], [6, 0, 9, 0], [1394, 0, 1321, 0], [766, 0, 1262, 0]]","[0.800000011920929, 0.05000000074505806, 0.07500000298023224, 0.05000000074505806]",0.6331199200848747,0.7212463415921067,0.7051773729626079,0.7712079316443714,0.0035696310396451285,0.0,0.5494347460930866,0.2425719336426499,0.327750899392135,0.9242202236944564,0.7792949525405897,0.0,0.8124575942062281,0.4627811988307767,0.4126344150189766
36,8.251878395676613,0.4488009392126744,0.7326075602615675,0.7801582561958794,"[[8180, 90, 367, 1], [14, 0, 0, 1], [571, 15, 2129, 0], [1862, 12, 12, 142]]","[0.550000011920929, 0.05000000074505806, 0.375, 0.05000000074505806]",0.7643141281847874,0.8308863525884268,0.8492084090319232,0.6455621154373116,0.0019087972900199957,0.0,0.9705513809740812,0.900678579647816,0.8152402833620525,0.9094114487255829,0.712731280563724,0.13075506445672191,0.7923596273869498,0.3958467229382132,0.3916065043961257
37,8.10060116648674,0.5230451180624425,0.7641898101251728,0.7653777246939385,"[[7360, 97, 446, 735], [8, 0, 0, 7], [715, 7, 1929, 64], [1052, 1, 11, 964]]","[0.44999998807907104, 0.05000000074505806, 0.42500001192092896, 0.15000000596046448]",0.7939333186762577,0.8621492983651872,0.8282225848196703,0.521221632663229,0.001148535738360295,0.0,0.9508391607065299,0.8382890156733221,0.7563222897471084,0.88731824218159,0.5972067777785984,0.507635597682991,0.7519882587505539,0.37047509562564607,0.3350002941828292
38,8.049119740724564,0.34368777954641294,0.4958964214785896,0.45222454464019113,"[[3840, 0, 4743, 55], [5, 0, 10, 0], [1248, 0, 1467, 0], [160, 0, 1117, 751]]","[0.2750000059604645, 0.07500000298023224, 0.10000000149011612, 0.05000000074505806]",0.6010689178416415,0.744513688027604,0.5528759628536463,0.8159081284408242,0.00904069318216674,0.0,0.4706007104058893,0.17654840169088287,0.2918822124950259,0.9245445015386281,0.7835069909181097,0.5299929428369795,0.7947020381036775,0.4251639218069855,0.3780631625756481
39,9.506585493683815,0.19601524916038848,0.5055777014772874,0.6448193490594207,"[[8638, 0, 0, 0], [15, 0, 0, 0], [2715, 0, 0, 0], [2028, 0, 0, 0]]","[0.05000000074505806, 0.05000000074505806, 0.15000000596046448, 0.05000000074505806]",0.41928559700964513,0.5619945351911967,0.7840609966415539,0.8174077672321451,0.0058333156897819064,0.0,0.3091383246580088,0.1610013650382625,0.0,0.915437742123987,0.7553546248326138,0.0,0.8212881597444439,0.4590511181464758,0.3923313928761875
40,9.332199513912201,0.44610742143026905,0.734332336206577,0.787996416840848,"[[8311, 1, 287, 39], [14, 0, 0, 1], [577, 0, 2138, 0], [1917, 3, 1, 107]]","[0.07500000298023224, 0.25, 0.875, 0.07500000298023224]",0.7869693221375077,0.852212841994075,0.8542940843912217,0.7431831203447674,0.0031453582273806074,0.0,0.9785043854226961,0.9174409266409416,0.8317447967321533,0.905517685548,0.6684077755849624,0.09839080459770115,0.7808206703971732,0.4265085777439925,0.3872102780447123
41,8.83298633992672,0.4286171174981208,0.7063436195628673,0.742012541057032,"[[7693, 542, 402, 1], [15, 0, 0, 0], [529, 17, 2169, 0], [1883, 64, 3, 78]]","[0.20000000298023224, 0.05000000074505806, 0.699999988079071, 0.05000000074505806]",0.7248015698642742,0.7841854041472285,0.8202366990084231,0.5621353660663129,0.001249977779201964,0.0,0.9725624562160343,0.8959623872915128,0.8201928530913216,0.9204280250663824,0.7423074162792728,0.07403891789273849,0.8431516899413074,0.4672937959689,0.43876159404545106
42,7.97560977935791,0.4593335429338238,0.6777372581127235,0.6798297999402807,"[[6791, 95, 1232, 520], [8, 0, 0, 7], [1611, 0, 1098, 6], [697, 19, 94, 1218]]","[0.625, 0.05000000074505806, 0.15000000596046448, 0.05000000074505806]",0.6737725502172721,0.7728116385912871,0.7653987038602423,0.7199810676830332,0.0024553793140323914,0.0,0.7070205385270449,0.3589601665505099,0.4273204903677758,0.9095548926569199,0.7235480325015924,0.644614977507277,0.8162571587981423,0.45400300055766385,0.43064454143421504
43,7.159906327724457,0.35572997055084465,0.6344330529649986,0.6914004180352344,"[[7362, 1, 1275, 0], [15, 0, 0, 0], [815, 0, 1900, 0], [1983, 0, 45, 0]]","[0.05000000074505806, 0.05000000074505806, 0.949999988079071, 0.05000000074505806]",0.6139533728840794,0.6601000114240836,0.7826502950087705,0.7723837281717858,0.00267762039016149,0.0,0.9182072329257837,0.7584503173584958,0.6402695871946082,0.8701036040819103,0.6426874013456666,0.0,0.85440931368527,0.5065498356456363,0.4892515098732386
44,7.041120111942291,0.5079952967027218,0.7476543805873124,0.7602269334129591,"[[7750, 1, 236, 651], [9, 0, 0, 6], [1468, 0, 1247, 0], [795, 4, 42, 1187]]","[0.4749999940395355, 0.05000000074505806, 0.375, 0.20000000298023224]",0.7467666476786491,0.805525781742247,0.8306538049303323,0.676272326433002,0.003488472837376455,0.0,0.822222934892564,0.7197466623498083,0.5882075471698113,0.9064045481485801,0.7080501092809061,0.6131198347107438,0.8794764710065256,0.5471463012960267,0.5080461029603858
45,6.742752894759178,0.3777288001607769,0.6565050833661186,0.6967005076142132,"[[7699, 551, 388, 0], [13, 2, 0, 0], [1061, 54, 1600, 0], [1875, 89, 32, 32]]","[0.4000000059604645, 0.07500000298023224, 0.5, 0.05000000074505806]",0.7167368206272742,0.7961794193426439,0.7984029866224204,0.6750766011508856,0.002143065169798615,0.005625879043600563,0.8928776645608985,0.7672532816626209,0.675818373812038,0.9217769705821524,0.7566154300915524,0.031067961165048542,0.8045963860034899,0.46104118950228284,0.4113199236714332
46,6.62386092543602,0.29770449413828626,0.5893966706531506,0.6672887429083308,"[[8095, 0, 543, 0], [15, 0, 0, 0], [1871, 0, 844, 0], [1948, 0, 80, 0]]","[0.4000000059604645, 0.05000000074505806, 0.3499999940395355, 0.05000000074505806]",0.6542825449121115,0.7483422511114828,0.787183351971605,0.6721321276436739,0.0019531207828596352,0.0,0.6783308272050869,0.49539037526366925,0.4036346245815399,0.9060894226084638,0.6917655700549873,0.0,0.7568294250534687,0.29784071216216446,0.32245524496634076
47,6.472883358597755,0.3687114981219377,0.6514555809748935,0.7079725291131681,"[[7932, 69, 637, 0], [15, 0, 0, 0], [1200, 23, 1492, 0], [1946, 1, 21, 60]]","[0.20000000298023224, 0.05000000074505806, 0.574999988079071, 0.05000000074505806]",0.7079125750214041,0.7940419513186863,0.8040139881404896,0.5837730114839449,0.001318664037937153,0.0,0.9027703277864015,0.7115470053104863,0.6133607399794451,0.8999975449269688,0.7036869048025683,0.05747126436781609,0.8148892334957908,0.4503037162096157,0.4324248195762204
48,6.065330736339092,0.3682490533174005,0.6607179406878935,0.7274559570020902,"[[8291, 1, 346, 0], [15, 0, 0, 0], [1280, 0, 1435, 0], [1966, 6, 37, 19]]","[0.17499999701976776, 0.05000000074505806, 0.75, 0.05000000074505806]",0.6860180453320183,0.7546093859283355,0.8212976721149083,0.7539396656951398,0.0045200094821951095,0.0,0.8823201143904866,0.7513531657746342,0.6331347893227444,0.8954979078960702,0.6832509367542762,0.018563751831949193,0.7877034958455723,0.3860775923088767,0.3804481045300189
49,5.869269892573357,0.4614521905092021,0.7339785005661839,0.7681397432069275,"[[7871, 195, 547, 25], [15, 0, 0, 0], [502, 33, 2176, 4], [1749, 7, 29, 243]]","[0.5249999761581421, 0.05000000074505806, 0.4000000059604645, 0.05000000074505806]",0.7859776459160044,0.8471079174767108,0.8384553928095873,0.7030017686769798,0.0018950057949509832,0.0,0.9494759200473534,0.856159396481704,0.7960490214011341,0.8990230414242824,0.6446658770361,0.21130434782608695,0.7553462205374774,0.30424497930017086,0.33151144434801405
50,5.478326685726643,0.29472312460420474,0.5830937091545498,0.6590773365183636,"[[7984, 5, 649, 0], [15, 0, 0, 0], [1871, 1, 843, 0], [2000, 0, 26, 2]]","[0.10000000149011612, 0.05000000074505806, 0.44999998807907104, 0.05000000074505806]",0.5937880812671578,0.6805856472362921,0.7786229763994539,0.6752559599432031,0.0017119597187211584,0.0,0.8477410447942622,0.5617260626185278,0.3982990786676116,0.8899835362629035,0.6773523319789432,0.0019704433497536944,0.8342137082437628,0.4412663779803003,0.44628844654676825
51,5.312433905899525,0.3960819074769721,0.6850884282455942,0.7437294714840251,"[[8265, 28, 332, 13], [15, 0, 0, 0], [1088, 0, 1627, 0], [1885, 3, 69, 71]]","[0.2750000059604645, 0.05000000074505806, 0.6499999761581421, 0.05000000074505806]",0.7708012466494811,0.8402168742210144,0.8310291086420994,0.7055825424108811,0.0020879481992501802,0.0,0.8894035000964693,0.7691662096729638,0.6860636727809404,0.8559365097293764,0.5460109056303114,0.06723484848484848,0.894293172954375,0.5430062542973191,0.5172805688057259
